fips_code,county_name,rating_area_count,rating_area_id,year
1001,Autauga County,1,AL11,2019
1003,Baldwin County,1,AL13,2019
1005,Barbour County,1,AL13,2019
1007,Bibb County,1,AL03,2019
1009,Blount County,1,AL03,2019
1011,Bullock County,1,AL13,2019
1013,Butler County,1,AL13,2019
1015,Calhoun County,1,AL01,2019
1017,Chambers County,1,AL13,2019
1019,Cherokee County,1,AL13,2019
1021,Chilton County,1,AL03,2019
1023,Choctaw County,1,AL13,2019
1025,Clarke County,1,AL13,2019
1027,Clay County,1,AL13,2019
1029,Cleburne County,1,AL13,2019
1031,Coffee County,1,AL13,2019
1033,Colbert County,1,AL07,2019
1035,Conecuh County,1,AL13,2019
1037,Coosa County,1,AL13,2019
1039,Covington County,1,AL13,2019
1041,Crenshaw County,1,AL13,2019
1043,Cullman County,1,AL13,2019
1045,Dale County,1,AL13,2019
1047,Dallas County,1,AL13,2019
1049,DeKalb County,1,AL13,2019
1051,Elmore County,1,AL11,2019
1053,Escambia County,1,AL13,2019
1055,Etowah County,1,AL08,2019
1057,Fayette County,1,AL13,2019
1059,Franklin County,1,AL13,2019
1061,Geneva County,1,AL06,2019
1063,Greene County,1,AL12,2019
1065,Hale County,1,AL12,2019
1067,Henry County,1,AL06,2019
1069,Houston County,1,AL06,2019
1071,Jackson County,1,AL13,2019
1073,Jefferson County,1,AL03,2019
1075,Lamar County,1,AL13,2019
1077,Lauderdale County,1,AL07,2019
1079,Lawrence County,1,AL05,2019
1081,Lee County,1,AL02,2019
1083,Limestone County,1,AL09,2019
1085,Lowndes County,1,AL11,2019
1087,Macon County,1,AL13,2019
1089,Madison County,1,AL09,2019
1091,Marengo County,1,AL13,2019
1093,Marion County,1,AL13,2019
1095,Marshall County,1,AL13,2019
1097,Mobile County,1,AL10,2019
1099,Monroe County,1,AL13,2019
1101,Montgomery County,1,AL11,2019
1103,Morgan County,1,AL05,2019
1105,Perry County,1,AL13,2019
1107,Pickens County,1,AL13,2019
1109,Pike County,1,AL13,2019
1111,Randolph County,1,AL13,2019
1113,Russell County,1,AL04,2019
1115,St. Clair County,1,AL03,2019
1117,Shelby County,1,AL03,2019
1119,Sumter County,1,AL13,2019
1121,Talladega County,1,AL13,2019
1123,Tallapoosa County,1,AL13,2019
1125,Tuscaloosa County,1,AL12,2019
1127,Walker County,1,AL03,2019
1129,Washington County,1,AL13,2019
1131,Wilcox County,1,AL13,2019
1133,Winston County,1,AL13,2019
2013,Aleutians East Borough,2,AK01,2019
2013,Aleutians East Borough,2,AK02,2019
2016,Aleutians West Census Area,2,AK01,2019
2016,Aleutians West Census Area,2,AK02,2019
2020,Anchorage Municipality,2,AK01,2019
2020,Anchorage Municipality,2,AK02,2019
2050,Bethel Census Area,2,AK01,2019
2050,Bethel Census Area,2,AK02,2019
2060,Bristol Bay Borough,1,AK02,2019
2068,Denali Borough,1,AK02,2019
2070,Dillingham Census Area,2,AK01,2019
2070,Dillingham Census Area,2,AK02,2019
2090,Fairbanks North Star Borough,1,AK02,2019
2100,Haines Borough,1,AK03,2019
2105,Hoonah-Angoon Census Area,1,AK03,2019
2110,Juneau City and Borough,1,AK03,2019
2122,Kenai Peninsula Borough,2,AK01,2019
2122,Kenai Peninsula Borough,2,AK02,2019
2130,Ketchikan Gateway Borough,1,AK03,2019
2150,Kodiak Island Borough,2,AK01,2019
2150,Kodiak Island Borough,2,AK02,2019
2158,Kusilvak Census Area,2,AK01,2019
