state,county_name,fips_code,carrier,issuer_id,market,plan_count
AK,Aleutians East Borough,2013,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Aleutians West Census Area,2016,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Anchorage Municipality,2020,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Bethel Census Area,2050,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Bristol Bay Borough,2060,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Denali Borough,2068,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Dillingham Census Area,2070,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Fairbanks North Star Borough,2090,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Haines Borough,2100,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Hoonah-Angoon Census Area,2105,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Juneau City and Borough,2110,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Kenai Peninsula Borough,2122,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Ketchikan Gateway Borough,2130,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Kodiak Island Borough,2150,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Kusilvak Census Area,2158,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Lake and Peninsula Borough,2164,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Matanuska-Susitna Borough,2170,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Nome Census Area,2180,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,North Slope Borough,2185,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Northwest Arctic Borough,2188,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Petersburg Census Area,2195,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Prince of Wales-Hyder Census Area,2198,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Sitka City and Borough,2220,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Skagway Municipality,2230,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Southeast Fairbanks Census Area,2240,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Valdez-Cordova Census Area,2261,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Wrangell City and Borough,2275,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Yakutat City and Borough,2282,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AK,Yukon-Koyukuk Census Area,2290,Premera BlueCross BlueShield of Alaska,38344,on_market,11
AL,Autauga County,1001,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Baldwin County,1003,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Barbour County,1005,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Bibb County,1007,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Blount County,1009,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Bullock County,1011,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Butler County,1013,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Calhoun County,1015,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Chambers County,1017,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Cherokee County,1019,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Chilton County,1021,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Choctaw County,1023,BlueCross BlueShield of Alabama,46944,on_market,13
AL,Clarke County,1025,BlueCross BlueShield of Alabama,46944,on_market,13
