"","ST","AREA","CARRIER","PLANNAME","METAL","PREMI27","PREMI50","actively_marketed","AB_CopayInnTier1","AB_CopayInnTier1A","AB_CoinsInnTier1","AB_CoinsInnTier1A","ER_CopayInnTier1","ER_CopayInnTier1A","ER_CoinsInnTier1","ER_CoinsInnTier1A","OM_CopayInnTier1","OM_CopayInnTier1A","OM_CoinsInnTier1","OM_CoinsInnTier1A","SD_CopayInnTier1","SD_CopayInnTier1A","SD_CoinsInnTier1","SD_CoinsInnTier1A","DEHBDedInnTier1IndividualA","MEHBDedInnTier1IndividualA","TEHBDedInnTier1IndividualA","Med_Deductible_Amount"
"1","AK","AK01","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Gold 1500","Gold",537,916,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,1500,1500
"2","AK","AK01","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 6350","Bronze",378,644,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,6350,6350
"3","AK","AK01","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 3000 HSA","Silver",563,959,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,3000,3000
"4","AK","AK02","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 3000 HSA","Silver",591,1008,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,3000,3000
"5","AK","AK03","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 3000 HSA","Silver",577,983,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,3000,3000
"6","AK","AK03","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 5250 HSA","Bronze",401,683,TRUE,0,NA,4,35,0,NA,4,35,0,NA,4,35,0,NA,4,40,NA,NA,5250,5250
"7","AK","AK01","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 5250 HSA","Bronze",391,666,TRUE,0,NA,4,35,0,NA,4,35,0,NA,4,35,0,NA,4,40,NA,NA,5250,5250
"8","AK","AK02","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 5250 HSA","Bronze",411,700,TRUE,0,NA,4,35,0,NA,4,35,0,NA,4,35,0,NA,4,40,NA,NA,5250,5250
"9","AK","AK02","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 4500","Silver",600,1022,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,4500,4500
"10","AK","AK03","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Gold 1500","Gold",551,939,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,1500,1500
"11","AK","AK03","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 6350","Bronze",387,660,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,6350,6350
"12","AK","AK03","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 4500","Silver",585,997,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,4500,4500
"13","AK","AK01","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Silver 4500","Silver",571,973,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,4500,4500
"14","AK","AK02","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Bronze 6350","Bronze",397,677,TRUE,0,NA,4,30,0,NA,4,30,0,NA,4,30,0,NA,4,40,NA,NA,6350,6350
"15","AK","AK02","Premera BlueCross BlueShield of Alaska","Premera Blue Cross Preferred Gold 1500","Gold",565,963,TRUE,0,NA,4,30,0,NA,4,30,3,60,0,NA,0,NA,4,40,NA,NA,1500,1500
"16","AL","AL03","Bright Health Plan","Catastrophic","Catastrophic",217.36,370.42,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"17","AL","AL03","Bright Health Plan","Bronze Perks","Bronze",268.64,457.81,TRUE,0,NA,4,50,0,NA,4,50,0,NA,4,50,0,NA,4,50,NA,NA,7000,7000
"18","AL","AL03","Bright Health Plan","Bronze","Bronze",268.36,457.34,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"19","AL","AL03","Bright Health Plan","Gold","Gold",505.36,861.23,TRUE,0,NA,4,20,0,NA,4,20,3,50,0,NA,0,NA,4,20,NA,NA,2200,2200
"20","AL","AL03","Bright Health Plan","Bronze HSA","Bronze",314.95,536.74,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6750,6750
"21","AL","AL03","Bright Health Plan","Silver Perks","Silver",408.85,696.77,TRUE,0,NA,4,20,0,NA,4,20,3,75,0,NA,3,650,0,NA,NA,NA,3200,3200
"22","AL","AL12","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",283.2,482.62,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"23","AL","AL04","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",482.7,822.62,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"24","AL","AL03","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",468.64,798.66,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"25","AL","AL01","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",435.84,742.76,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"26","AL","AL07","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",435.84,742.76,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"27","AL","AL05","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",435.84,742.76,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"28","AL","AL02","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",482.7,822.62,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"29","AL","AL12","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",426.47,726.78,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"30","AL","AL05","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",234.93,400.36,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"31","AL","AL05","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",288.58,491.8,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"32","AL","AL10","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",297.89,507.66,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"33","AL","AL09","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",322.71,549.97,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"34","AL","AL06","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",288.58,491.8,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"35","AL","AL04","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",319.61,544.68,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"36","AL","AL12","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",282.38,481.22,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"37","AL","AL08","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",288.58,491.8,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"38","AL","AL13","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",291.68,497.09,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"39","AL","AL07","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",288.58,491.8,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"40","AL","AL11","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",310.3,528.82,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"41","AL","AL05","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",471,802.69,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"42","AL","AL02","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",521.65,889,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"43","AL","AL02","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",443.65,756.07,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"44","AL","AL07","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",400.58,682.66,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"45","AL","AL05","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",289.42,493.23,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"46","AL","AL02","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",320.54,546.26,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"47","AL","AL06","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",289.42,493.23,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"48","AL","AL10","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",298.76,509.14,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"49","AL","AL09","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",323.65,551.57,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"50","AL","AL13","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",292.53,498.53,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"51","AL","AL03","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",311.2,530.35,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"52","AL","AL04","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",320.54,546.26,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"53","AL","AL07","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",289.42,493.23,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"54","AL","AL11","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",311.2,530.35,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"55","AL","AL08","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",289.42,493.23,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"56","AL","AL01","BlueCross BlueShield of Alabama","Blue Saver Bronze","Bronze",289.42,493.23,TRUE,2,0,0,NA,2,0,0,NA,3,40,0,NA,2,0,0,NA,NA,NA,7150,7150
"57","AL","AL08","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",435.84,742.76,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"58","AL","AL11","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",468.64,798.66,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"59","AL","AL06","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",435.84,742.76,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"60","AL","AL10","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",449.9,766.72,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
