"","state","county_name","county_fips","count_issuers","count_plans"
"1","AK","Aleutians East Borough","02013",1,11
"2","AK","Aleutians West Census Area","02016",1,11
"3","AK","Anchorage Municipality","02020",1,11
"4","AK","Bethel Census Area","02050",1,11
"5","AK","Bristol Bay Borough","02060",1,11
"6","AK","Denali Borough","02068",1,11
"7","AK","Dillingham Census Area","02070",1,11
"8","AK","Fairbanks North Star Borough","02090",1,11
"9","AK","Haines Borough","02100",1,11
"10","AK","Hoonah-Angoon Census Area","02105",1,11
"11","AK","Juneau City and Borough","02110",1,11
"12","AK","Kenai Peninsula Borough","02122",1,11
"13","AK","Ketchikan Gateway Borough","02130",1,11
"14","AK","Kodiak Island Borough","02150",1,11
"15","AK","Kusilvak Census Area","02158",1,11
"16","AK","Lake and Peninsula Borough","02164",1,11
"17","AK","Matanuska-Susitna Borough","02170",1,11
"18","AK","Nome Census Area","02180",1,11
"19","AK","North Slope Borough","02185",1,11
"20","AK","Northwest Arctic Borough","02188",1,11
"21","AK","Petersburg Census Area","02195",1,11
"22","AK","Prince of Wales-Hyder Census Area","02198",1,11
"23","AK","Sitka City and Borough","02220",1,11
"24","AK","Skagway Municipality","02230",1,11
"25","AK","Southeast Fairbanks Census Area","02240",1,11
"26","AK","Valdez-Cordova Census Area","02261",1,11
"27","AK","Wrangell City and Borough","02275",1,11
"28","AK","Yakutat City and Borough","02282",1,11
"29","AK","Yukon-Koyukuk Census Area","02290",1,11
"30","AL","Autauga County","01001",1,13
"31","AL","Baldwin County","01003",1,13
"32","AL","Barbour County","01005",1,13
"33","AL","Bibb County","01007",1,13
"34","AL","Blount County","01009",1,13
"35","AL","Bullock County","01011",1,13
"36","AL","Butler County","01013",1,13
"37","AL","Calhoun County","01015",1,13
"38","AL","Chambers County","01017",1,13
"39","AL","Cherokee County","01019",1,13
"40","AL","Chilton County","01021",1,13
"41","AL","Choctaw County","01023",1,13
"42","AL","Clarke County","01025",1,13
"43","AL","Clay County","01027",1,13
"44","AL","Cleburne County","01029",1,13
"45","AL","Coffee County","01031",1,13
"46","AL","Colbert County","01033",1,13
"47","AL","Conecuh County","01035",1,13
"48","AL","Coosa County","01037",1,13
"49","AL","Covington County","01039",1,13
"50","AL","Crenshaw County","01041",1,13
"51","AL","Cullman County","01043",1,13
"52","AL","Dale County","01045",1,13
"53","AL","Dallas County","01047",1,13
"54","AL","DeKalb County","01049",1,13
"55","AL","Elmore County","01051",1,13
"56","AL","Escambia County","01053",1,13
"57","AL","Etowah County","01055",1,13
"58","AL","Fayette County","01057",1,13
"59","AL","Franklin County","01059",1,13
"60","AL","Geneva County","01061",1,13
"61","AL","Greene County","01063",1,13
"62","AL","Hale County","01065",1,13
"63","AL","Henry County","01067",1,13
"64","AL","Houston County","01069",1,13
"65","AL","Jackson County","01071",1,13
"66","AL","Jefferson County","01073",2,22
"67","AL","Lamar County","01075",1,13
"68","AL","Lauderdale County","01077",1,13
"69","AL","Lawrence County","01079",1,13
"70","AL","Lee County","01081",1,13
"71","AL","Limestone County","01083",1,13
"72","AL","Lowndes County","01085",1,13
"73","AL","Macon County","01087",1,13
"74","AL","Madison County","01089",1,13
"75","AL","Marengo County","01091",1,13
"76","AL","Marion County","01093",1,13
"77","AL","Marshall County","01095",1,13
"78","AL","Mobile County","01097",1,13
"79","AL","Monroe County","01099",1,13
"80","AL","Montgomery County","01101",1,13
"81","AL","Morgan County","01103",1,13
"82","AL","Perry County","01105",1,13
"83","AL","Pickens County","01107",1,13
"84","AL","Pike County","01109",1,13
"85","AL","Randolph County","01111",1,13
"86","AL","Russell County","01113",1,13
"87","AL","Shelby County","01117",2,22
"88","AL","St. Clair County","01115",1,13
"89","AL","Sumter County","01119",1,13
"90","AL","Talladega County","01121",1,13
"91","AL","Tallapoosa County","01123",1,13
"92","AL","Tuscaloosa County","01125",1,13
"93","AL","Walker County","01127",2,22
"94","AL","Washington County","01129",1,13
"95","AL","Wilcox County","01131",1,13
"96","AL","Winston County","01133",1,13
"97","AR","Arkansas County","05001",4,73
"98","AR","Ashley County","05003",4,73
"99","AR","Baxter County","05005",4,73
"100","AR","Benton County","05007",4,73
"101","AR","Boone County","05009",4,73
"102","AR","Bradley County","05011",4,73
"103","AR","Calhoun County","05013",3,60
"104","AR","Carroll County","05015",4,73
"105","AR","Chicot County","05017",4,73
"106","AR","Clark County","05019",4,73
"107","AR","Clay County","05021",4,73
"108","AR","Cleburne County","05023",4,73
"109","AR","Cleveland County","05025",4,73
"110","AR","Columbia County","05027",3,60
"111","AR","Conway County","05029",4,73
"112","AR","Craighead County","05031",4,73
"113","AR","Crawford County","05033",3,60
"114","AR","Crittenden County","05035",4,73
"115","AR","Cross County","05037",4,73
"116","AR","Dallas County","05039",4,73
"117","AR","Desha County","05041",4,73
"118","AR","Drew County","05043",4,73
"119","AR","Faulkner County","05045",4,73
"120","AR","Franklin County","05047",3,60
"121","AR","Fulton County","05049",4,73
"122","AR","Garland County","05051",4,73
"123","AR","Grant County","05053",4,73
"124","AR","Greene County","05055",4,73
"125","AR","Hempstead County","05057",3,60
"126","AR","Hot Spring County","05059",4,73
"127","AR","Howard County","05061",3,60
"128","AR","Independence County","05063",4,73
"129","AR","Izard County","05065",4,73
"130","AR","Jackson County","05067",4,73
"131","AR","Jefferson County","05069",4,73
"132","AR","Johnson County","05071",3,60
"133","AR","Lafayette County","05073",3,60
"134","AR","Lawrence County","05075",4,73
"135","AR","Lee County","05077",4,73
"136","AR","Lincoln County","05079",4,73
"137","AR","Little River County","05081",3,60
"138","AR","Logan County","05083",3,60
"139","AR","Lonoke County","05085",4,73
"140","AR","Madison County","05087",4,73
"141","AR","Marion County","05089",4,73
